,vocabs,frequency
1720,deltaic,2
1721,megacities,2
1722,subsidence,1
1723,pathways,5
1724,tokyo,2
1725,manila,1
1726,ho,1
1727,chi,1
1728,minh,1
1729,losses,4
1730,damages,1
1731,soes,1
1732,transformational,1
1733,drylands,7
1734,managing,2
1735,slow,2
1736,onset,2
1737,bureaucracy,1
1738,knowledge,3
1739,actions,1
1740,latin,1
1741,reviewing,1
1742,navigating,2
1743,foresight,1
1744,flexibility,1
1745,recommendations,1
1746,planned,1
1747,relocation,2
1748,loss,6
1749,damage,3
1750,islands,2
1751,promoting,2
1752,tenure,1
1753,security,2
1754,peace,1
1755,appropriate,1
1756,fostering,1
1757,actor,2
1758,coalitions,1
1759,complex,5
1760,sociotechnical,1
1761,stability,2
1762,equilibrium,1
1763,millennial,2
1764,solution,2
1765,fertilizer,1
1766,narratives,3
1767,end,1
1768,regenerative,1
1769,responsible,1
1770,innovation,4
1771,licence,2
1772,operate,2
1773,aligning,1
1774,concepts,1
1775,legitimacy,1
1776,extraction,2
1777,engineering,3
1778,biological,2
1779,synthetic,1
1780,biology,1
1781,gene,1
1782,drives,1
1783,revegetation,1
1784,shrub,1
1785,planting,3
1786,degraded,1
1787,dryland,8
1788,hydrological,1
1789,sediment,10
1790,connectivity,2
1791,mezquital,1
1792,ddp,1
1793,resilient,1
1794,flash,1
1795,governing,1
1796,commons,1
1797,rethinking,1
1798,links,3
1799,soil,14
1800,stocks,2
1801,chinese,7
1802,resources,3
1803,opportunities,2
1804,prosperity,1
1805,sahel,1
1806,essential,1
1807,variables,1
1808,dynamic,3
1809,achieving,2
1810,fit,1
1811,ecological,9
1812,observation,1
1813,financing,1
1814,pastoral,2
1815,grazing,2
1816,biodiversity,5
1817,multifunctionality,1
1818,feedbacks,1
1819,ecosystems,3
1820,promote,2
1821,catchments,2
1822,loess,1
1823,plateau,4
1824,owning,1
1825,everyday,3
1826,amelia,1
1827,presscambridge,1
1828,massachusettsxv,1
1829,paperback,4
1830,isbn,6
1831,meaningful,1
1832,connections,1
1833,emotions,5
1834,subaltern,2
1835,feel,1
1836,ethnography,1
1837,subalternity,1
1838,emotion,3
1839,conference,1
1840,emotional,7
1841,becoming,1
1842,campus,1
1843,leaders,1
1844,care,4
1845,archives,2
1846,postcolonial,1
1847,intersectional,2
1848,moves,1
1849,feminist,1
1850,geographic,1
1851,childhood,2
1852,settings,1
1853,affect,9
1854,race,1
1855,letting,1
1856,brush,1
1857,mark,1
1858,cousins,1
1859,floating,1
1860,cartography,1
1861,window,1
1862,visualizing,1
1863,felt,1
1864,geographies,8
1865,love,2
1866,relational,1
1867,spouse,1
1868,senegal,2
1869,reclaiming,1
1870,failure,5
1871,geography,8
1872,academic,3
1873,honesty,1
1874,neoliberal,1
1875,atmospheres,1
1876,simultaneous,1
1877,constructing,1
1878,labyrinth,1
1879,psychological,3
1880,deterrence,1
1881,calling,1
1882,friendship,1
1883,collaboration,1
1884,amid,2
1885,miracle,1
1886,boats,1
1887,wonders,1
1888,locating,1
1889,recovery,1
1890,japanese,1
1891,debris,2
1892,tactics,1
1893,umbrella,1
1894,movement,2
1895,jeffreysconcethe,1
1896,delusion,1
1897,electronics,1
1898,paper,3
1899,cloth,4
1900,academicnew,1
1901,yorkxxii,1
1902,notes,1
1903,good,1
1904,boys,1
1905,gang,1
1906,members,1
1907,asylum,2
1908,gained,1
1909,lost,2
1910,devastating,1
1911,signatures,1
1912,capoeira,1
1913,media,3
1914,greek,1
1915,migrant,4
1916,disinformation,1
1917,weaponization,1
1918,cruel,1
1919,optimism,1
1920,misinformation,1
1921,struggling,1
1922,researching,2
1923,failures,1
1924,english,3
1925,material,1
1926,reconcile,1
1927,sorting,1
1928,martinacvajnersoviet,1
1929,signoras,1
1930,personal,1
1931,chicago,2
1932,discomfort,1
1933,transformative,1
1934,encounters,2
1935,racism,1
1936,gavan,1
1937,encountering,1
1938,precarity,1
1939,uncertainty,3
1940,anxiety,1
1941,postgraduate,1
1942,manifesto,1
1943,depersonalising,1
1944,collectivising,1
1945,embracing,1
1946,funding,2
1947,pakistani,1
1948,transnational,1
1949,laurenberlantkathleenstewartthe,1
1950,pressdurham,2
1951,jinahkimpostcolonial,1
1952,grief,1
1953,afterlives,1
1954,wars,1
1955,adjustments,2
1956,violent,1
1957,situations,1
1958,secure,1
1959,units,1
1960,staff,1
1961,play,1
1962,affective,2
1963,hope,1
1964,hani,1
1965,idol,1
1966,violence,8
1967,precarities,1
1968,temporalities,1
1969,confronting,2
1970,self,1
1971,autoethnographic,1
1972,skin,1
1973,anyone,1
1974,become,1
1975,refugee,2
1976,empathic,1
1977,concern,1
1978,documentaries,1
1979,illuminating,1
1980,bodily,1
1981,midwifery,1
1982,rollercoaster,1
1983,structuring,1
1984,diagnosing,1
1985,hearing,1
1986,limits,3
1987,entrepreneurs,1
1988,fields,2
1989,workshop,1
1990,negotiating,1
1991,boycotts,1
1992,un,1
1993,declaration,1
1994,action,2
1995,biography,1
1996,experiments,2
1997,enchantment,1
1998,domestic,1
1999,upcycling,1
2000,tensions,1
2001,smellscapes,1
2002,absent,1
2003,horticultural,1
2004,classifications,1
2005,plant,12
2006,inventories,2
2007,remote,1
2008,sensing,1
2009,biodiverse,1
2010,roofs,2
2011,key,5
2012,functional,4
2013,groups,3
2014,arthropods,1
2015,nature,5
2016,england,4
2017,attachment,1
2018,parks,9
2019,pruning,1
2020,bending,1
2021,moments,1
2022,vibration,1
2023,decrease,1
2024,raised,1
2025,mahogany,1
2026,khaya,1
2027,senegalensis,1
2028,linkages,1
2029,greenspace,5
2030,influenced,1
2031,combination,1
2032,stay,3
2033,home,3
2034,safe,1
2035,gardening,1
2036,aggregated,1
2037,woody,1
2038,greater,2
2039,abundance,3
2040,native,3
2041,birds,3
2042,particulate,2
2043,hurricane,1
2044,irma,1
2045,sociodemographic,1
2046,eight,1
2047,internationally,1
2048,open,2
2049,enhance,1
2050,soundscape,2
2051,protected,2
2052,intelligence,1
2053,prediction,2
2054,tourists,1
2055,biophilic,1
2056,urbanism,1
2057,adaptability,1
2058,avifauna,1
2059,campuses,1
2060,spontaneous,1
2061,hotspot,1
2062,backyards,1
2063,contribute,1
2064,vacant,1
2065,lot,1
2066,establishment,2
2067,alter,2
2068,pocket,1
2069,cemeteries,1
2070,airborne,2
2071,pollen,5
2072,surrounding,1
2073,tenuous,1
2074,link,5
2075,transfer,2
2076,complexifying,1
2077,lawn,1
2078,improves,1
2079,arthropod,2
2080,roof,1
2081,substrates,1
2082,lactuca,1
2083,sativa,1
2084,condition,2
2085,block,1
2086,storage,2
2087,affects,3
2088,availability,5
2089,bacterial,1
2090,taxa,1
2091,linked,1
2092,pollutant,1
2093,degradation,3
2094,landscaping,1
2095,materials,1
2096,motivation,1
2097,influencing,2
2098,wild,1
2099,testing,5
2100,practitioner,1
2101,three,4
2102,midwestern,1
2103,usa,3
2104,visitation,1
2105,appreciation,1
2106,conserves,1
2107,approves,1
2108,intentions,1
2109,referent,1
2110,traditional,2
2111,important,1
2112,others,1
2113,engaging,2
2114,scientists,1
2115,exotic,1
2116,pest,2
2117,detection,3
2118,managers,1
2119,transit,5
2120,greening,2
2121,landforms,2
2122,giant,1
2123,castanopsis,1
2124,sieboldii,1
2125,suburbs,1
2126,eco,1
2127,root,2
2128,precise,1
2129,mature,1
2130,olive,1
2131,heterogeneous,2
2132,wetland,2
2133,quantity,1
2134,greenery,1
2135,usage,1
2136,multiscale,1
2137,watershed,1
2138,sponge,1
2139,structural,1
2140,depth,1
2141,stem,2
2142,encircling,1
2143,roots,3
2144,girdling,1
2145,swmm,1
2146,particle,3
2147,swarm,1
2148,runoff,1
2149,control,2
2150,infrastructures,1
2151,reaping,1
2152,fruits,1
2153,outside,2
2154,classroom,1
2155,denmark,1
2156,upon,1
2157,interventions,4
2158,coupling,1
2159,coordination,1
2160,phenology,1
2161,leaf,2
2162,bark,1
2163,throughfall,1
2164,address,1
2165,cypress,1
2166,mycorrhizae,1
2167,rhizobacteria,1
2168,biomass,4
2169,nutrient,2
2170,status,4
2171,efficiency,3
2172,protein,1
2173,marc,1
2174,kéry,1
2175,andrew,1
2176,royle,1
2177,r,1
2178,bugs,1
2179,vol,1
2180,press,1
2181,pages,1
2182,hardcover,1
2183,ebook,2
2184,volatiles,1
2185,mediate,1
2186,behavioral,1
2187,herbivore,2
2188,shows,1
2189,dominance,2
2190,bombus,1
2191,terrestris,1
2192,indirect,2
2193,insect,2
2194,promotes,1
2195,predatory,1
2196,wasps,1
2197,parasitoids,1
2198,pollinator,2
2199,bees,4
2200,subtropical,3
2201,nutrients,3
2202,rather,1
2203,introduced,1
2204,grassland,1
2205,vascular,1
2206,ground,1
2207,beetle,1
2208,wet,1
2209,arable,2
2210,forager,1
2211,macadamia,1
2212,orchards,1
2213,differ,1
2214,managed,1
2215,intraspecific,1
2216,annual,1
2217,legume,1
2218,medicago,1
2219,minima,1
2220,shaped,1
2221,genetic,2
2222,competitive,1
2223,ability,1
2224,competition,2
2225,kin,2
2226,functions,1
2227,partner,1
2228,traits,1
2229,robber,1
2230,habitats,1
2231,intercropping,1
2232,input,1
2233,without,1
2234,risking,1
2235,significant,1
2236,indicator,2
2237,putative,1
2238,bacteria,1
2239,nitrogen,2
2240,cycles,1
2241,peat,1
2242,swamp,1
2243,β,1
2244,aboveground,1
2245,bioclimatic,1
2246,rangelands,2
2247,flower,1
2248,types,4
2249,bumblebees,1
2250,diets,2
2251,complicate,2
2252,fertility,1
2253,rehabilitation,1
2254,mulching,1
2255,negative,1
2256,fungal,1
2257,slovak,1
2258,oligotrophic,1
2259,grasslands,1
2260,assembly,1
2261,rules,1
2262,succession,1
2263,highly,1
2264,replicable,1
2265,standardized,1
2266,assess,1
2267,seed,1
2268,probabilities,1
2269,describe,1
2270,evaluate,1
2271,functioning,4
2272,mammal,1
2273,assemblages,1
2274,along,4
2275,gradients,1
2276,differentiation,3
2277,plants,1
2278,roost,1
2279,fidelity,1
2280,noctule,1
2281,bats,3
2282,red,1
2283,foxes,1
2284,output,1
2285,white,1
2286,spruce,1
2287,year,1
2288,bear,1
2289,energetic,1
2290,kleptoparasitism,1
2291,dominant,1
2292,scavenger,1
2293,may,2
2294,foraging,1
2295,behaviors,2
2296,apex,2
2297,predator,2
2298,semiochemicals,1
2299,habitat,1
2300,manipulation,1
2301,lacewing,1
2302,aphid,1
2303,infestations,1
2304,agroecosystems,2
2305,nocturnal,1
2306,insects,1
2307,macroecological,1
2308,resident,1
2309,migratory,1
2310,hummingbirds,1
2311,prokaryote,1
2312,metazoan,1
2313,floodplain,1
2314,aquifer,1
2315,tested,1
2316,productivity,3
2317,complementary,1
2318,diversification,2
2319,webs,1
2320,microbial,1
2321,enzyme,1
2322,kinetics,1
2323,causes,3
2324,consequences,3
2325,lags,1
2326,basic,1
2327,feral,2
2328,wildlife,2
2329,horses,1
2330,microbiome,1
2331,reprint,1
2332,planted,1
2333,varying,2
2334,synzoochory,1
2335,naturalization,1
2336,almond,1
2337,grinnellian,1
2338,eltonian,1
2339,dimensions,2
2340,niches,1
2341,tale,1
2342,wolf,1
2343,spiders,1
2344,driver,1
2345,respiration,1
2346,niche,1
2347,overlap,1
2348,honey,1
2349,bee,1
2350,restored,1
2351,prairies,1
2352,structured,1
2353,floral,1
2354,molecular,1
2355,thresholds,1
2356,including,1
2357,feeding,1
2358,exposed,1
2359,monthly,1
2360,carabids,1
2361,kaiserstuhl,1
2362,southwest,1
2363,dispersal,1
2364,driven,1
2365,aggregation,1
2366,acceptance,1
2367,relates,2
2368,assigned,1
2369,urbanites,1
2370,neotropical,1
2371,fragmentation,1
2372,identifying,1
2373,economically,1
2374,relevant,1
2375,forests,5
2376,framed,1
2377,eu,2
2378,partisan,2
2379,theory,1
2380,four,2
2381,conflict,2
2382,nonindustrial,1
2383,private,3
2384,landowner,1
2385,prescribed,1
2386,burning,1
2387,lower,5
2388,wildfire,1
2389,reducing,2
2390,deforestation,2
2391,summary,1
2392,outlook,1
2393,costs,3
2394,fire,1
2395,cerrado,1
2396,rubber,1
2397,proposed,1
2398,forestland,2
2399,log,3
2400,administrators,1
2401,communal,1
2402,organizations,1
2403,persona,1
2404,owners,2
2405,priorities,1
2406,upland,1
2407,product,3
2408,chains,4
2409,reduction,1
2410,elasticities,1
2411,dissolving,1
2412,pulp,1
2413,chemical,2
2414,derivatives,1
2415,textile,1
2416,fibres,1
2417,bioeconomy,1
2418,anticipated,1
2419,sdg,1
2420,targets,1
2421,scientific,1
2422,improve,3
2423,afforestation,1
2424,stringent,1
2425,protect,1
2426,construction,1
2427,significantly,1
2428,investment,3
2429,timber,4
2430,forestry,1
2431,fujian,1
2432,stochastic,1
2433,simulation,3
2434,afromontane,1
2435,cognitive,2
2436,demographic,1
2437,attitudes,2
2438,restore,2
2439,chestnut,1
2440,makes,1
2441,deteriorate,1
2442,dengcen,1
2443,village,2
2444,southwestern,1
2445,platform,2
2446,finnish,1
2447,utilisation,1
2448,expected,1
2449,economic,5
2450,wildfires,2
2451,eucalypt,1
2452,plantations,1
2453,optimising,1
2454,payment,1
2455,schemes,1
2456,atlantic,1
2457,stock,1
2458,colonial,2
2459,hangover,1
2460,bricolage,1
2461,cameroon,2
2462,acacia,1
2463,woodchip,1
2464,furniture,1
2465,connectedness,1
2466,valuation,1
2467,democracy,1
2468,spillover,1
2469,designating,1
2470,swiss,1
2471,remaining,1
2472,devolution,1
2473,honduras,1
2474,protection,2
2475,flpa,1
2476,georgia,2
2477,wood,2
2478,cartel,1
2479,finland,2
2480,price,2
2481,interest,1
2482,compensation,1
2483,claims,1
2484,trading,1
2485,mandatory,1
2486,legality,1
2487,licensing,1
2488,exports,1
2489,indonesian,1
2490,products,1
2491,balancing,1
2492,frames,1
2493,democratic,1
2494,republic,3
2495,korea,2
2496,beijing,1
2497,gentrification,1
2498,portland,1
2499,oregon,1
2500,electricity,1
2501,generation,1
2502,partnership,1
2503,agreements,1
2504,advantage,1
2505,penalty,1
2506,disparities,1
2507,physiological,1
2508,older,6
2509,course,2
2510,bmi,1
2511,walkability,2
2512,glycemic,1
2513,markers,1
2514,type,2
2515,diabetes,3
2516,hoorn,1
2517,cohort,3
2518,epigenetics,1
2519,chronic,2
2520,wellbeing,1
2521,hubei,1
2522,reductions,2
2523,stage,2
2524,neighbourhood,4
2525,interrelationships,1
2526,first,4
2527,episode,2
2528,psychosis,1
2529,one,2
2530,progressions,1
2531,stories,1
2532,relocating,1
2533,neighbourhoods,2
2534,associations,7
2535,binge,1
2536,sample,1
2537,importance,1
2538,walking,2
2539,steps,1
2540,half,2
2541,yokohama,1
2542,sedentary,1
2543,interpretations,1
2544,density,2
2545,stores,1
2546,purchases,1
2547,beverages,1
2548,destinations,2
2549,restrictions,1
2550,variety,1
2551,mostly,1
2552,exercise,1
2553,close,1
2554,workload,1
2555,embodied,1
2556,political,9
2557,ecologies,1
2558,undernutrition,1
2559,heterogeneity,3
2560,disadvantage,4
2561,obesity,2
2562,unhealthy,1
2563,advertising,1
2564,proximity,2
2565,inequalities,1
2566,measured,2
2567,scottish,1
2568,gps,1
2569,legacy,1
2570,redlining,1
2571,tobacco,4
2572,retailer,2
2573,ohio,1
2574,minority,1
2575,leads,1
2576,disproportionate,1
2577,burden,1
2578,illinois,1
2579,reliability,1
2580,blue,3
2581,bluehealth,1
2582,beat,1
2583,mask,1
2584,wearing,1
2585,june,1
2586,internalizing,1
2587,maternal,1
2588,depression,1
2589,abuse,1
2590,father,1
2591,gardener,1
2592,narrative,2
2593,dementia,1
2594,smoking,1
2595,retail,1
2596,drug,1
2597,dominican,1
2598,five,1
2599,origin,1
2600,alcohol,1
2601,harm,1
2602,facilitators,1
2603,mobilisation,1
2604,initial,1
2605,implementation,2
2606,surprising,1
2607,much,1
2608,nonsense,1
2609,hear,1
2610,react,1
2611,stigmatised,1
2612,synthesis,1
2613,ethnic,1
2614,allostatic,1
2615,executive,1
2616,function,1
2617,relative,1
2618,greenness,1
2619,buffers,1
2620,stressful,1
2621,distress,1
2622,store,1
2623,following,1
2624,beverage,1
2625,tax,1
2626,oakland,1
2627,stigma,1
2628,black,2
2629,gay,1
2630,limb,1
2631,osteoarthritis,1
2632,mediation,1
2633,americans,1
2634,vape,1
2635,shops,1
2636,stable,1
2637,deficits,1
2638,neurocognitive,1
2639,obstructive,1
2640,pulmonary,1
2641,hospital,1
2642,psychosocial,1
2643,visual,1
2644,cues,1
2645,breast,1
2646,survivors,1
2647,stressed,1
2648,anxious,1
2649,sick,1
2650,floods,3
2651,photovoice,1
2652,differentiated,1
2653,fadama,1
2654,accra,1
2655,medical,1
2656,homes,1
2657,adult,1
2658,exposures,1
2659,deprivation,1
2660,ages,1
2661,cross,1
2662,lagged,1
2663,uk,2
2664,distances,1
2665,dockless,2
2666,metros,1
2667,working,1
2668,shopping,1
2669,gradient,1
2670,boosting,1
2671,positional,1
2672,goods,1
2673,discussion,1
2674,provincial,1
2675,privacy,1
2676,measures,2
2677,crowdsourced,1
2678,bicycle,3
2679,contested,1
2680,mobilities,1
2681,sweden,1
2682,choice,3
2683,commuting,3
2684,méxico,1
2685,chance,1
2686,karen,1
2687,lucas,1
2688,karel,1
2689,martens,1
2690,floridea,1
2691,di,1
2692,ciommo,1
2693,ariane,1
2694,eds,1
2695,elsevier,1
2696,justinspinneyunderstanding,1
2697,options,1
2698,commute,1
2699,seeking,1
2700,healthcare,1
2701,elderly,1
2702,patients,1
2703,segregation,1
2704,container,1
2705,terminal,1
2706,hinterland,1
2707,cologne,1
2708,taking,1
2709,account,1
2710,disruption,1
2711,shared,3
2712,trip,3
2713,origins,1
2714,determine,1
2715,correlations,1
2716,tourism,2
2717,parcel,1
2718,pedestrian,1
2719,ferry,1
2720,quo,2
2721,vadis,2
2722,newcomers,1
2723,confronted,1
2724,iranian,1
2725,subjects,1
2726,move,1
2727,accidents,1
2728,competitiveness,1
2729,commuter,1
2730,midsize,1
2731,thunder,1
2732,guest,1
2733,editorial,1
2734,vélomobilities,1
2735,minibus,1
2736,taxis,1
2737,kampala,1
2738,paratransit,1
2739,march,1
2740,september,1
2741,google,1
2742,api,1
2743,pedalling,1
2744,zealand,2
2745,deeper,1
2746,ridehailing,1
2747,inferring,1
2748,purposes,1
2749,uncovering,1
2750,bike,1
2751,dataset,1
2752,shenzhen,1
2753,warehouses,1
2754,contributing,1
2755,economy,2
2756,reveal,1
2757,lines,1
2758,route,1
2759,mass,2
2760,questioning,1
2761,stereotypes,1
2762,accessing,1
2763,divine,1
2764,jerusalem,2
2765,cable,1
2766,jersey,1
2767,stated,1
2768,preference,1
2769,rooney,1
2770,taylor,1
2771,francis,1
2772,crash,1
2773,tobit,1
2774,parameters,1
2775,brt,1
2776,lahore,1
2777,near,1
2778,excess,1
2779,democratising,1
2780,lies,1
2781,beneath,1
2782,peruvian,2
2783,underground,1
2784,predicament,1
2785,sovereignty,2
2786,forced,1
2787,injustices,1
2788,salar,1
2789,shadow,1
2790,electromobility,1
2791,blockchain,1
2792,traceability,1
2793,interplay,2
2794,exception,1
2795,habitus,1
2796,organized,1
2797,staging,1
2798,spectacle,1
2799,spiritual,1
2800,geopolitics,5
2801,integrity,1
2802,exclusionary,2
2803,nationalism,2
2804,citizenship,1
2805,intersection,1
2806,tracing,1
2807,cloud,1
2808,emergent,1
2809,centres,1
2810,polarizations,1
2811,neonationalisms,1
2812,bordering,1
2813,operationalising,1
2814,identity,1
2815,opinion,1
2816,refugees,1
2817,snapshot,1
2818,reapportioning,1
2819,congress,1
2820,shifting,1
2821,fringe,1
2822,unrest,1
2823,visa,1
2824,divide,1
2825,permits,1
2826,varies,1
2827,worldwide,1
2828,ritual,1
2829,riots,1
2830,belfast,1
2831,embodying,1
2832,falling,1
2833,territorialisation,1
2834,reconfiguration,1
2835,upper,3
2836,ever,1
2837,cosmopolitan,1
2838,studying,1
2839,divergence,1
2840,principled,1
2841,pragmatism,1
2842,going,1
2843,back,1
2844,veterans,1
2845,malvinas,1
2846,war,2
2847,fe,1
2848,electoral,1
2849,resurgence,2
2850,forces,1
2851,andalusia,1
2852,colonising,1
2853,volcanic,3
2854,geopower,2
2855,civil,1
2856,justinbeaumontreading,1
2857,routledge,1
2858,handbook,1
2859,illus,1
2860,hardback,1
2861,pub,2
2862,vitalsource,1
2863,rental,2
2864,contradiction,1
2865,terms,1
2866,quarantine,1
2867,nuclear,2
2868,necropower,1
2869,around,1
2870,coexistence,1
2871,reshaping,1
2872,cartographic,1
2873,feelings,1
2874,nation,1
2875,candidate,1
2876,voter,1
2877,polarization,1
2878,cavernous,1
2879,territory,1
2880,kurdish,1
2881,question,1
2882,rescue,1
2883,promotion,1
2884,mexican,1
2885,practicing,1
2886,decolonial,1
2887,neocolonialism,1
2888,threat,1
2889,coalbed,1
2890,methane,1
2891,stratum,1
2892,inquiry,1
2893,lorraine,1
2894,france,1
2895,decolonisation,1
2896,diplomacies,1
2897,lusophone,1
2898,prefigurative,1
2899,infrastructural,1
2900,repertoires,1
2901,guayaquil,1
2902,legal,1
2903,happened,1
2904,geopolitical,1
2905,framing,2
2906,party,1
2907,capitalism,1
2908,unknownindustrialprisoner,1
2909,neither,1
2910,enough,1
2911,modest,1
2912,pandemopolitics,1
2913,serbia,1
2914,belarus,1
2915,escape,1
2916,ecomodernism,1
2917,degrowth,1
2918,days,1
2919,opening,1
2920,subjective,1
2921,mind,1
2922,decarbonisation,1
2923,leading,1
2924,bank,1
2925,shape,1
2926,agendas,1
2927,coasts,2
2928,reveals,4
2929,guidance,1
2930,best,1
2931,transdisciplinary,2
2932,ratings,1
2933,controversies,1
2934,attitudinal,1
2935,skepticism,1
2936,continuum,1
2937,bundles,1
2938,landownership,1
2939,ethnicity,1
2940,matrilineal,1
2941,patrilineal,1
2942,bamenda,1
2943,highlands,1
2944,explaining,1
2945,glyphosate,1
2946,portfolios,1
2947,meet,1
2948,target,1
2949,interlinkages,1
2950,dependency,1
2951,cascading,1
2952,disasters,1
2953,institutions,1
2954,payments,1
2955,seven,1
2956,ideological,1
2957,barrier,1
2958,quantitative,2
2959,reward,1
2960,fishers,1
2961,storminess,2
2962,incorporating,1
2963,sequestration,1
2964,neutrality,1
2965,stressors,1
2966,mountain,3
2967,nepalese,1
2968,caught,1
2969,squeeze,1
2970,games,1
2971,catalyst,1
2972,ipcc,1
2973,reports,1
2974,challenge,1
2975,exploratory,1
2976,anomalies,1
2977,disaggregated,1
2978,capturing,1
2979,transform,1
2980,articulation,1
2981,empower,1
2982,smarter,1
2983,feedback,1
2984,unemployment,1
2985,avalanche,1
2986,maurienne,1
2987,inferred,2
2988,publisher,1
2989,note,1
2990,feels,1
2991,coupled,1
2992,sheet,2
2993,sensitive,1
2994,cordilleran,1
2995,ice,1
2996,interval,2
2997,niushan,1
2998,delayed,1
2999,signal,2
3000,post,1
3001,extinction,3
3002,paleoceanographic,1
3003,meridional,1
3004,since,3
3005,last,5
3006,glacial,1
3007,maximum,1
3008,radiolarian,1
3009,hydrocarbon,1
3010,successions,1
3011,frequent,1
3012,calcispheres,1
3013,carnian,1
3014,pluvial,1
3015,late,9
3016,triassic,3
3017,style,1
3018,provenance,2
3019,magmatic,1
3020,aptian,1
3021,oceanic,3
3022,anoxic,2
3023,oae,1
3024,ordovician,2
3025,reef,1
3026,peculiar,1
3027,consortium,1
3028,foreland,2
3029,orogenic,1
3030,exhumation,1
3031,nappe,1
3032,stacking,1
3033,inferences,1
3034,thermochronological,1
3035,profile,1
3036,carpathians,1
3037,paleoenvironmental,1
3038,uplift,1
3039,eocene,1
3040,signals,1
3041,reconstructions,2
3042,northeastern,2
3043,tibetan,3
3044,biofacies,1
3045,teočak,1
3046,section,1
3047,bosnia,1
3048,herzegovina,1
3049,geochemistry,1
3050,abnormal,1
3051,enrichment,1
3052,shales,1
3053,lowermost,1
3054,cambrian,1
3055,niutitang,1
3056,redox,1
3057,hydrothermal,1
3058,paleoclimate,1
3059,orbital,2
3060,forcing,1
3061,tethys,3
3062,coronene,1
3063,biomarker,1
3064,magnitude,2
3065,devonian,1
3066,reflect,1
3067,miocene,1
3068,biomes,1
3069,decadal,2
3070,timescale,1
3071,holocene,4
3072,crisis,1
3073,unreefing,1
3074,led,1
3075,demise,1
3076,dachstein,1
3077,carbonate,1
3078,revised,1
3079,transdanubian,1
3080,range,2
3081,hungary,2
3082,sediments,1
3083,pannonian,2
3084,step,1
3085,sedimentary,1
3086,rapid,1
3087,waviness,1
3088,westerly,1
3089,jet,1
3090,stream,2
3091,interannual,1
3092,acceleration,1
3093,correction,1
3094,demonstration,1
3095,resolution,1
3096,netherlands,1
3097,anatomical,1
3098,spring,1
3099,discharge,1
3100,luna,1
3101,sink,1
3102,deformation,1
3103,mechanism,1
3104,fluid,1
3105,flow,4
3106,siliciclastic,1
3107,deposits,1
3108,boundary,1
3109,geomagnetic,1
3110,secular,1
3111,foci,1
3112,glaciation,1
3113,latitude,1
3114,kyr,1
3115,montane,1
3116,congo,1
3117,stratigraphy,1
3118,defined,1
3119,seismic,1
3120,refraction,1
3121,well,1
3122,stromatolites,1
3123,virgin,1
3124,limestone,1
3125,diamond,1
3126,nv,1
3127,dysoxia,1
3128,enhanced,1
3129,calcification,1
3130,microbialites,1
3131,interacted,1
3132,biophysics,1
3133,socioeconomics,1
3134,normalized,1
3135,difference,1
3136,cretaceous,2
3137,currents,1
3138,nd,1
3139,isotopes,1
3140,clay,1
3141,mineralogy,1
3142,observed,1
3143,tide,1
3144,records,2
3145,modes,1
3146,lithospheric,1
3147,weak,1
3148,continental,1
3149,rifting,2
3150,trough,1
3151,projected,1
3152,excursion,1
3153,qiangtang,1
3154,comment,1
3155,reply,1
3156,meeting,1
3157,backarc,1
3158,offshore,1
3159,crises,1
3160,suborbital,1
3161,bering,1
3162,ka,1
3163,diatom,1
3164,proxies,1
3165,competing,1
3166,fluvial,4
3167,incision,2
3168,quaternary,3
3169,exorheic,1
3170,moyobamba,1
3171,subandes,1
3172,alsek,1
3173,glacier,1
3174,retreat,1
3175,outlet,1
3176,alaska,1
3177,montana,1
3178,dem,1
3179,resolutions,1
3180,erosion,5
3181,equation,1
3182,characterisation,1
3183,aeolian,1
3184,accumulation,1
3185,topography,3
3186,channel,4
3187,tammaro,1
3188,shoreline,1
3189,beach,1
3190,calcareous,1
3191,tufa,1
3192,valleys,1
3193,pecora,1
3194,resurfaced,1
3195,paleodunes,1
3196,botucatu,1
3197,erg,1
3198,paraná,1
3199,volcanics,1
3200,direction,2
3201,sequencing,1
3202,headland,1
3203,bypassing,1
3204,spatiotemporally,1
3205,mainstem,1
3206,riverbed,1
3207,elevation,2
3208,tributary,1
3209,interglacial,1
3210,ara,1
3211,measurements,2
3212,crestal,1
3213,turbulent,1
3214,transverse,1
3215,dune,3
3216,ridges,1
3217,polygonal,1
3218,terrain,2
3219,formed,1
3220,sulfate,1
3221,weathering,1
3222,biogeomorphological,1
3223,domination,1
3224,šumava,1
3225,mountains,2
3226,czech,1
3227,intertidal,1
3228,wetlands,2
3229,utilising,1
3230,fusion,1
3231,changjiang,1
3232,estuary,1
3233,anthropogenic,1
3234,amplification,1
3235,geomorphic,2
3236,campania,1
3237,geomorphology,1
3238,surficial,1
3239,femmilsjøen,1
3240,spitsbergen,1
3241,hypogene,1
3242,speleogenesis,1
3243,paragenesis,1
3244,dolomites,1
3245,episodically,1
3246,volatile,1
3247,ping,1
3248,conversion,1
3249,subaqueous,1
3250,megaflood,1
3251,hypothesis,1
3252,multibeam,1
3253,seabed,1
3254,camera,1
3255,imaging,1
3256,submarine,2
3257,palaeovalley,1
3258,qinling,1
3259,topographical,1
3260,direct,1
3261,continuous,1
3262,sandy,1
3263,ephemeral,1
3264,landslides,1
3265,siberian,1
3266,termination,1
